tripadvisor_attractions_id,name,rating,review_count,image_url,page_link,description,duration,area,address,city,state,zipcode,created_at,lat,lng,status,country
363,Michigan State Capitol,4.5,357,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/9a/e9/47/photo3jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g42391-d282093-Reviews-Michigan_State_Capitol-Lansing_Ingham_County_Michigan.html,"About Designated as a National Historic Landmark in 1992, this building has served as Michigan's seat of state government since its completion in 1879.  5 of 5 bubbles Jun 2024 A Great Visit! We got to peek in the Governor’s office, saw the House and Senate from the balcony and the old Supreme Court . By Denise K  5 of 5 bubbles Jun 2024 Great tour! Our tour guide , Jacob, was excellent and very knowledgeable.  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday Closed Sunday Closed Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Suggest edits to improve what we show. Improve this listing About Designated as a National Historic Landmark in 1992, this building has served as Michigan's seat of state government since its completion in 1879.  5 of 5 bubbles Jun 2024 A Great Visit! We got to peek in the Governor’s office, saw the House and Senate from the balcony and the old Supreme Court . By Denise K  5 of 5 bubbles Jun 2024 Great tour! Our tour guide , Jacob, was excellent and very knowledgeable.  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Hours Closed now Wednesday 8:00 AM - 5:00 PM",nan,"100 N Capitol Ave, Lansing, MI 48933",100 N Capitol Ave,Lansing,MI,48933,2025-11-06 12:12:35,,,,United States
364,Boldt Castle and the Boldt Yacht House,4.7,"2,039",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ef/01/a1/20160912-103504-largejpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g29794-d105682-Reviews-Boldt_Castle_and_the_Boldt_Yacht_House-Alexandria_Bay_New_York.html,"About Travellers' Choice 2025 A visit to the magnificent Boldt Castle offers a glimpse into one of the most compelling love stories in history. At the turn-of-the-century, George C. Boldt, millionaire proprietor of the world-famous Waldorf Astoria Hotel in NYC, set out to build a full-sized Rhineland Castle in Alexandria Bay, on Heart Island. The grandiose structure was to be a display of his love for his wife, Louise. Beginning in 1900, Boldt's family shared four summers on Wellesley Island while 300 workers, stonemasons, carpenters and artists fashioned the six story, 120-room castle, complete with tunnels, a powerhouse, Italian gardens, a drawbridge and a dovecote. In 1904, tragedy struck. Boldt telegrammed the island and commanded the workers to immediately ""stop all construction."" Louise had died suddenly. A broken-hearted Boldt could not imagine his dream castle without his beloved. Three hundred workers laid down their tools. Boldt never returned, leaving behind the structure as a monument of his love.  5 of 5 bubbles Sept 2025 Wonderful attraction, reasonably priced. You drive to the yacht house, park, see the place, and take a quick boat ride to the Boldt Castle . By Davigeta  5 of 5 bubbles Sept 2024 Plan to spend hours here The grounds are beautiful and several outbuildings to visit as well. By ralzie  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing About Travellers' Choice 2025 A visit to the magnificent Boldt Castle offers a glimpse into one of the most compelling love stories in history. At the turn-of-the-century, George C. Boldt, millionaire proprietor of the world-famous Waldorf Astoria Hotel in NYC, set out to build a full-sized Rhineland Castle in Alexandria Bay, on Heart Island. The grandiose structure was to be a display of his love for his wife, Louise. Beginning in 1900, Boldt's family shared four summers on Wellesley Island while 300 workers, stonemasons, carpenters and artists fashioned the six story, 120-room castle, complete with tunnels, a powerhouse, Italian gardens, a drawbridge and a dovecote. In 1904, tragedy struck. Boldt telegrammed the island and commanded the workers to immediately ""stop all construction."" Louise had died suddenly. A broken-hearted Boldt could not imagine his dream castle without his beloved. Three hundred workers laid down their tools. Boldt never returned, leaving behind the structure as a monument of his love.  5 of 5 bubbles Sept 2025 Wonderful attraction, reasonably priced. You drive to the yacht house, park, see the place, and take a quick boat ride to the Boldt Castle . By Davigeta  5 of 5 bubbles Sept 2024 Plan to spend hours here The grounds are beautiful and several outbuildings to visit as well. By ralzie  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",,"1 Heart Island, Alexandria Bay, NY 13607",1 Heart Island,Alexandria Bay,NY,13607,2025-11-06 12:12:35,,,,United States
365,Oakland Zoo,4.3,717,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/1f/a6/33/gondola-heading-to-the.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g32810-d156887-Reviews-Oakland_Zoo-Oakland_California.html,"About Oakland Zoo was established in 1922 and is managed by the Conservation Society of California, a 501(c)3 non-profit organization dedicated to the conservation of wildlife both locally and globally. The Zoo is home to over 850 native and exotic animals. We're recognized for our outstanding animal care, particularly our elephant care program, and for our Leed-certified, 17,000 square foot, state-of-the-art veterinary hospital—the largest wild animal veterinary facility in Northern California. June 2018 introduced Oakland Zoo guests to an entirely new experience, California Trail, a monumental expansion furthering our commitment to animal care, education, and conservation with a focus on this state’s remarkable native wildlife—both past and present.  Duration: 1-2 hours Meets animal welfare guidelines 5 of 5 bubbles Aug 2025 Despite lots of construction, a lovely zoo that demands the opening of your wallet ... levels- the older portion of the zoo, and the newer California Trail atop a mountain accessible by an aerial tram . By The Pidge  5 of 5 bubbles Jul 2024 Great zoo. I really liked the grizzly bears and the bison. By LostInTime  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 9:30 AM - 4:00 PM Tuesday 9:30 AM - 4:00 PM Wednesday 9:30 AM - 4:00 PM Thursday 9:30 AM - 4:00 PM Friday 9:30 AM - 4:00 PM Saturday 9:30 AM - 4:00 PM Sunday 9:30 AM - 4:00 PM Monday 9:30 AM - 4:00 PM Suggest edits to improve what we show. Improve this listing About Oakland Zoo was established in 1922 and is managed by the Conservation Society of California, a 501(c)3 non-profit organization dedicated to the conservation of wildlife both locally and globally. The Zoo is home to over 850 native and exotic animals. We're recognized for our outstanding animal care, particularly our elephant care program, and for our Leed-certified, 17,000 square foot, state-of-the-art veterinary hospital—the largest wild animal veterinary facility in Northern California. June 2018 introduced Oakland Zoo guests to an entirely new experience, California Trail, a monumental expansion furthering our commitment to animal care, education, and conservation with a focus on this state’s remarkable native wildlife—both past and present.  Duration: 1-2 hours Meets animal welfare guidelines 5 of 5 bubbles Aug 2025 Despite lots of construction, a lovely zoo that demands the opening of your wallet ... levels- the older portion of the zoo, and the newer California Trail atop a mountain accessible by an aerial tram . By The Pidge  5 of 5 bubbles Jul 2024 Great zoo. I really liked the grizzly bears and the bison. By LostInTime  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options Hours Closed now Tuesday 9:30 AM - 4:00 PM",1-2 hours,"9777 Golf Links Rd, Oakland, CA 94605-4925",9777 Golf Links Rd,Oakland,CA,94605-4925,2025-11-06 12:12:35,,,,United States
366,Frank E. Mackle Park,4.7,371,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/1d/9e/9c/mackle-park.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g34420-d1838624-Reviews-Frank_E_Mackle_Park-Marco_Island_Florida.html,"About City of Marco Island Parks & Recreation is a free public park for all Marco Island residents and local visitors.  2 of 5 bubbles Mar 2024 Nice playscape but disappointed about the splash pad We came here following the pirate ship experience on Marco because we heard it had a nice playscape for kids and a nice splash pad. The playscape was very nice but the splash pad had no one in it. The gate was closed but not locked. We were unsure if it was due to crooning or not. Our 4-1/2 and 3-1/2 yr old grandsons were really looking forward to cooling off on a very hot afternoon and instead it was a bust. By Karen W  5 of 5 bubbles Dec 2023 For children of all ages!! Great fun for family!  Covered basketball courts shielding sun, baci, kiddie park and lower hoops for smaller kids. Great to just walk too! By steve C  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 8:00 AM - 8:00 PM Wednesday 8:00 AM - 8:00 PM Thursday 8:00 AM - 8:00 PM Friday 8:00 AM - 8:00 PM Saturday 8:00 AM - 6:00 PM Sunday 9:00 AM - 5:00 PM Monday 8:00 AM - 8:00 PM Tuesday 8:00 AM - 8:00 PM Suggest edits to improve what we show. Improve this listing About City of Marco Island Parks & Recreation is a free public park for all Marco Island residents and local visitors.  2 of 5 bubbles Mar 2024 Nice playscape but disappointed about the splash pad We came here following the pirate ship experience on Marco because we heard it had a nice playscape for kids and a nice splash pad. The playscape was very nice but the splash pad had no one in it. The gate was closed but not locked. We were unsure if it was due to crooning or not. Our 4-1/2 and 3-1/2 yr old grandsons were really looking forward to cooling off on a very hot afternoon and instead it was a bust. By Karen W  5 of 5 bubbles Dec 2023 For children of all ages!! Great fun for family!  Covered basketball courts shielding sun, baci, kiddie park and lower hoops for smaller kids. Great to just walk too! By steve C  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Hours Closed now Wednesday 8:00 AM - 8:00 PM",,"1361 Andalusia Ter, Marco Island, FL 34145-4629",1361 Andalusia Ter,Marco Island,FL,34145-4629,2025-11-06 12:12:35,,,,United States
367,John's Pass Village & Boardwalk,4.3,"3,871",https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/f7/f9/26/john-s-pass-village-and.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g34410-d117384-Reviews-John_s_Pass_Village_Boardwalk-Madeira_Beach_Florida.html,"About Travellers' Choice 2025 The ""Pass"", as locals refer to it, was created by a hurricane on September 27, 1848. A pirate, John Levique, made the first passage through the newly created pass. Hence the name, John's Pass. Located on the waterfront at John's Pass, this quaint turn-of-the-century fishing village is Pinellas County's #1 tourist attraction. Over one hundred merchants inhabit the Village with unique retail shopping, a variety of restaurants, the local fishing fleet, dolphin watching and shelling tours, boat rentals, parasailing and jet skiing.  Duration: More than 3 hours 5 of 5 bubbles May 2025 John's pass experience. This location also features the famous Bubba Gump (Forrest Gump movie themed) restaurant. By Meander50876606214  5 of 5 bubbles Feb 2025 Nice area This is a great destination for strolling the boardwalk and enjoying the shops and restaurants . By Sharon P  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 10:00 AM - 10:00 PM Wednesday 10:00 AM - 10:00 PM Thursday 10:00 AM - 10:00 PM Friday 10:00 AM - 10:00 PM Saturday 10:00 AM - 10:00 PM Sunday 10:00 AM - 10:00 PM Monday 10:00 AM - 10:00 PM Tuesday 10:00 AM - 10:00 PM Suggest edits to improve what we show. Improve this listing About Travellers' Choice 2025 The ""Pass"", as locals refer to it, was created by a hurricane on September 27, 1848. A pirate, John Levique, made the first passage through the newly created pass. Hence the name, John's Pass. Located on the waterfront at John's Pass, this quaint turn-of-the-century fishing village is Pinellas County's #1 tourist attraction. Over one hundred merchants inhabit the Village with unique retail shopping, a variety of restaurants, the local fishing fleet, dolphin watching and shelling tours, boat rentals, parasailing and jet skiing.  Duration: More than 3 hours 5 of 5 bubbles May 2025 John's pass experience. This location also features the famous Bubba Gump (Forrest Gump movie themed) restaurant. By Meander50876606214  5 of 5 bubbles Feb 2025 Nice area This is a great destination for strolling the boardwalk and enjoying the shops and restaurants . By Sharon P  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options Hours Closed now Wednesday 10:00 AM - 10:00 PM",More than 3 hours,"12902 Village Blvd, Madeira Beach, FL 33708-2656",12902 Village Blvd,Madeira Beach,FL,33708-2656,2025-11-06 12:12:35,,,,United States
368,Lake Livingston State Park,4.4,205,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/bc/b8/66/lake-livingston-state.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g56180-d1763911-Reviews-Lake_Livingston_State_Park-Livingston_Texas.html,"About 5 of 5 bubbles Dec 2024 Great camping on the lake Lake Livingston State Park is an hour north of Houston. By Magic Man Mike  5 of 5 bubbles May 2023 Nice State Park The day use area has nice picnic tables with charcoals grills and lovely view of the the lake. By tleeEvans  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 6:00 AM - 10:00 PM Wednesday 6:00 AM - 10:00 PM Thursday 6:00 AM - 10:00 PM Friday 6:00 AM - 10:00 PM Saturday 6:00 AM - 10:00 PM Sunday 6:00 AM - 10:00 PM Monday 6:00 AM - 10:00 PM Tuesday 6:00 AM - 10:00 PM Suggest edits to improve what we show. Improve this listing About 5 of 5 bubbles Dec 2024 Great camping on the lake Lake Livingston State Park is an hour north of Houston. By Magic Man Mike  5 of 5 bubbles May 2023 Nice State Park The day use area has nice picnic tables with charcoals grills and lovely view of the the lake. By tleeEvans  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Hours Closed now Wednesday 6:00 AM - 10:00 PM",,"300 State Park Rd 65, Livingston, TX 77351-1601",300 State Park Rd 65,Livingston,TX,77351-1601,2025-11-06 12:12:35,,,,United States
369,Only Child Brewing Company,4.6,12,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/54/0a/6e/caption.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g36087-d8561396-Reviews-Only_Child_Brewing_Company-Gurnee_Lake_County_Illinois.html,"About 5 of 5 bubbles Mar 2022 Some really great beer Super good variety and all are tasty. The Vienna Lager was so creamy. The Citra was good as was the birra. All of them were super good. Definitely come if at Great Wolf Lodge  or close by. It’s also dog and kid friendly. A flight is 4 4 oz pours for 9.00. They do offer a military and teachers discount. Great spot. By David C  5 of 5 bubbles Aug 2019 Super Chill, Fun Spot, Good Beer We enjoy stopping here to have a beer with friends. Relaxed, low key, dog friendly, and fresh pop corn. What more do you need?  You can also bring food in. Always enjoyable. By 21happycows  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing About 5 of 5 bubbles Mar 2022 Some really great beer Super good variety and all are tasty. The Vienna Lager was so creamy. The Citra was good as was the birra. All of them were super good. Definitely come if at Great Wolf Lodge  or close by. It’s also dog and kid friendly. A flight is 4 4 oz pours for 9.00. They do offer a military and teachers discount. Great spot. By David C  5 of 5 bubbles Aug 2019 Super Chill, Fun Spot, Good Beer We enjoy stopping here to have a beer with friends. Relaxed, low key, dog friendly, and fresh pop corn. What more do you need?  You can also bring food in. Always enjoyable. By 21happycows  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing",,"1350 Tri State Pkwy Suite 124, Gurnee, IL 60031-9185",1350 Tri State Pkwy Suite 124,Gurnee,IL,60031-9185,2025-11-06 12:12:35,,,,United States
370,Yacht Club Community Pool,4.3,"1,019",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/8b/ea/ff/20190725-201024-largejpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g34118-d1025274-Reviews-Yacht_Club_Community_Pool-Cape_Coral_Florida.html,"About Temporarily closed  4 of 5 bubbles Mar 2024 Family trip Cape Coral is close enough to beaches, south enough to be warm in March & more affordable to stay than Ft Meyers or M... By Joy D  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 9:00 AM - 6:00 PM Wednesday 9:00 AM - 6:00 PM Thursday 9:00 AM - 6:00 PM Friday 9:00 AM - 6:00 PM Saturday 9:00 AM - 5:00 PM Sunday 9:00 AM - 5:00 PM Monday 9:00 AM - 6:00 PM Tuesday 9:00 AM - 6:00 PM Suggest edits to improve what we show. Improve this listing About Temporarily closed  4 of 5 bubbles Mar 2024 Family trip Cape Coral is close enough to beaches, south enough to be warm in March & more affordable to stay than Ft Meyers or M... By Joy D  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Hours Closed now Wednesday 9:00 AM - 6:00 PM",,"5819 Driftwood Pkwy Yacht Club Community Park, Cape Coral, FL 33904-5963",5819 Driftwood Pkwy Yacht Club Community Park,Cape Coral,FL,33904-5963,2025-11-06 12:12:35,,,,United States
371,Children's Museum Houston,4.6,"1,684",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/5c/af/70/children-s-museum-houston.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g56003-d269830-Reviews-Children_s_Museum_Houston-Houston_Texas.html,"About Hands-on interactive exhibits in the areas of science and technology, history and culture, health and human development, and the arts.  Duration: More than 3 hours 5 of 5 bubbles Aug 2024 Wonderful ... a Kidtropolis a city for kids ran by kids, an outdoor area with an interactive water exhibit and at the top floor... By Liztravelsandeats  5 of 5 bubbles Jun 2024 great for toddler-tween There is a lot of info and hands on activities about things like momentum, and a lab area with engineering challenges... By Teri J  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 9:00 AM - 5:00 PM Wednesday 9:00 AM - 5:00 PM Thursday 9:00 AM - 8:00 PM Friday 9:00 AM - 5:00 PM Saturday 9:00 AM - 5:00 PM Sunday 9:00 AM - 5:00 PM Monday Closed Tuesday 9:00 AM - 5:00 PM Suggest edits to improve what we show. Improve this listing About Hands-on interactive exhibits in the areas of science and technology, history and culture, health and human development, and the arts.  Duration: More than 3 hours 5 of 5 bubbles Aug 2024 Wonderful ... a Kidtropolis a city for kids ran by kids, an outdoor area with an interactive water exhibit and at the top floor... By Liztravelsandeats  5 of 5 bubbles Jun 2024 great for toddler-tween There is a lot of info and hands on activities about things like momentum, and a lab area with engineering challenges... By Teri J  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Admission tickets From ₹1,800 See tickets Hours Closed now Wednesday 9:00 AM - 5:00 PM",More than 3 hours,"1500 Binz St, Houston, TX 77004-7112",1500 Binz St,Houston,TX,77004-7112,2025-11-06 12:12:35,,,,United States
372,Marymere Falls,4.6,745,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e4/66/91/photo0jpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g60921-d117082-Reviews-Marymere_Falls-Port_Angeles_Clallam_County_Washington.html,"About Travellers' Choice 2025 A trail in the Olympic National Forest.  5 of 5 bubbles Sept 2024 Beautiful falls after an easy trail hike and then a lot of stairs. Beautiful falls after an easy trail hike and then a lot of stairs. By parksvisitor  5 of 5 bubbles May 2024 Nice Short Hike Nice Short Hike By Gautam R  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing About Travellers' Choice 2025 A trail in the Olympic National Forest.  5 of 5 bubbles Sept 2024 Beautiful falls after an easy trail hike and then a lot of stairs. Beautiful falls after an easy trail hike and then a lot of stairs. By parksvisitor  5 of 5 bubbles May 2024 Nice Short Hike Nice Short Hike By Gautam R  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",,"Lake Crescent Rd Olympic National Forest, Port Angeles, WA 98363",Lake Crescent Rd Olympic National Forest,Port Angeles,WA,98363,2025-11-06 12:12:35,,,,United States
373,Grandad Bluff,4.7,"1,098",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/23/17/d0/northerly-view.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g60015-d143688-Reviews-Grandad_Bluff-La_Crosse_Wisconsin.html,"About At 590 feet, this area offers scenic views.  5 of 5 bubbles May 2025 Nature’s beauty Beautiful view of the city from high atop the bluff. By tonip961  5 of 5 bubbles Jul 2024 This is one of our very favorite places to visit when in La Crosse. From Spring through Fall the view is amazing. From Spring through Fall the view is amazing. By Deeeeno  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 6:00 AM - 10:30 PM Wednesday 6:00 AM - 10:30 PM Thursday 6:00 AM - 10:30 PM Friday Closed Saturday 6:00 AM - 10:30 PM Sunday 6:00 AM - 10:30 PM Monday 6:00 AM - 10:30 PM Tuesday 6:00 AM - 10:30 PM Suggest edits to improve what we show. Improve this listing About At 590 feet, this area offers scenic views.  5 of 5 bubbles May 2025 Nature’s beauty Beautiful view of the city from high atop the bluff. By tonip961  5 of 5 bubbles Jul 2024 This is one of our very favorite places to visit when in La Crosse. From Spring through Fall the view is amazing. From Spring through Fall the view is amazing. By Deeeeno  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Hours Closed now Wednesday 6:00 AM - 10:30 PM",,"3020 Grandad Bluff Road, La Crosse, WI 54601",3020 Grandad Bluff Road,La Crosse,WI,54601,2025-11-06 12:12:35,,,,United States
374,Thousand Islands,4.7,558,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/98/4e/00/photo2jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g29794-d145963-Reviews-Thousand_Islands-Alexandria_Bay_New_York.html,"About Located along the border between northern New York and southeastern Ontario, Thousand Islands is a group of over 1,800 islands. It's home to picturesque archipelagos, world-class wineries, and stunning scenery. You can camp under the stars, book a cozy motel, a beautiful riverside villa, or a full-service hotel to stay the night—there's something for everyone. Don't miss visiting the 120-room Boldt Castle on Heart Island. You might also want to hop on a narrated boat tour that departs from several communities along each border, taking you between islands and past castles and historic lighthouses.  5 of 5 bubbles Jul 2024 Crossing countries by boat. It was incredible to cross US to Canada by boat, and see those beautiful islands, hear about the history and facts of... By moni_oliveira25  5 of 5 bubbles Aug 2023 Such a great area Love this area, there is so much to do: visit the small towns, do a boat ride , camp, just visit for the day. By Ginger B R  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing About Located along the border between northern New York and southeastern Ontario, Thousand Islands is a group of over 1,800 islands. It's home to picturesque archipelagos, world-class wineries, and stunning scenery. You can camp under the stars, book a cozy motel, a beautiful riverside villa, or a full-service hotel to stay the night—there's something for everyone. Don't miss visiting the 120-room Boldt Castle on Heart Island. You might also want to hop on a narrated boat tour that departs from several communities along each border, taking you between islands and past castles and historic lighthouses.  5 of 5 bubbles Jul 2024 Crossing countries by boat. It was incredible to cross US to Canada by boat, and see those beautiful islands, hear about the history and facts of... By moni_oliveira25  5 of 5 bubbles Aug 2023 Such a great area Love this area, there is so much to do: visit the small towns, do a boat ride , camp, just visit for the day. By Ginger B R  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Tours & experiences Explore different ways to experience this place. See options",,nan,nan,nan,nan,nan,2025-11-06 12:12:35,,,,
375,Amish Country,4.5,169,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/1a/f7/db/amish-country.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g28956-d254420-Reviews-Amish_Country-Ohio.html,"About Regions located through Holmes, Tuscarawas and Wayne Counties that offer visitors a glimpse of the unique culture and traditional values of the Amish.  5 of 5 bubbles Dec 2024 Great experience Love the downtown Sugarcreek village. By Tish T  5 of 5 bubbles Aug 2024 My Favorite Amish Area I enjoy this area in Ohio much more than the Lancaster County area in Pennsylvania. By JuneNY  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing About Regions located through Holmes, Tuscarawas and Wayne Counties that offer visitors a glimpse of the unique culture and traditional values of the Amish.  5 of 5 bubbles Dec 2024 Great experience Love the downtown Sugarcreek village. By Tish T  5 of 5 bubbles Aug 2024 My Favorite Amish Area I enjoy this area in Ohio much more than the Lancaster County area in Pennsylvania. By JuneNY  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing",,nan,nan,nan,nan,nan,2025-11-06 12:12:35,,,,
376,Silverball Retro Arcade Asbury Park,4.8,640,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/ea/34/03/silverball-retro-arcade.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g29748-d1549658-Reviews-Silverball_Retro_Arcade_Asbury_Park-Asbury_Park_New_Jersey.html,"About The Silverball Museum Arcade, located on Asbury Park boardwalk is a living, breathing and blinking tribute to our pinball and video gaming past. With 170 games classic and modern pinball, video, and arcade games, we are sure you will find your favorites while getting to know and enjoy some new machines. So, next time you are down at the Jersey Shore – stop in and experience a great piece of Americana.  Duration: 2-3 hours 5 of 5 bubbles Dec 2024 This place ROCKS!! This place is an absolute blast, for any and all ages . By Harry A  5 of 5 bubbles Apr 2024 Fun times! We got the all day pass . By Momwholvsherkids  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Closed now 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 AM Friday 11:00 AM - 12:00 AM Saturday 10:00 AM - 12:00 AM Sunday 10:00 AM - 9:00 PM Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Suggest edits to improve what we show. Improve this listing About The Silverball Museum Arcade, located on Asbury Park boardwalk is a living, breathing and blinking tribute to our pinball and video gaming past. With 170 games classic and modern pinball, video, and arcade games, we are sure you will find your favorites while getting to know and enjoy some new machines. So, next time you are down at the Jersey Shore – stop in and experience a great piece of Americana.  Duration: 2-3 hours 5 of 5 bubbles Dec 2024 This place ROCKS!! This place is an absolute blast, for any and all ages . By Harry A  5 of 5 bubbles Apr 2024 Fun times! We got the all day pass . By Momwholvsherkids  Review snippets are selected by AI for relevance and recency and represent the opinions of Tripadvisor users, not Tripadvisor LLC. See all reviews Suggest edits to improve what we show. Improve this listing Hours Closed now Wednesday 11:00 AM - 9:00 PM",2-3 hours,"1000 Ocean Ave, Asbury Park, NJ 07712-6289",1000 Ocean Ave,Asbury Park,NJ,07712-6289,2025-11-06 12:12:35,,,,United States
377,San Francisco Bay Ferry,4.7,319,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0d/45/c3/san-francisco-bay-ferry.jpg?w=500&h=-1&s=1,https://www.tripadvisor.in/Attraction_Review-g32810-d8502567-Reviews-San_Francisco_Bay_Ferry-Oakland_California.html,nan,nan,nan,nan,nan,nan,nan,2025-11-06 12:12:35,,,,
378,Creek Street,4.2,"2,495",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f4/11/77/creek-street.jpg?w=500&h=400&s=1,https://www.tripadvisor.in/Attraction_Review-g31030-d106663-Reviews-Creek_Street-Ketchikan_Alaska.html,nan,nan,nan,nan,nan,nan,nan,2025-11-06 12:12:35,,,,
